cut_id,subassembly,qty,material,rough_dimension_in,finished_dimension_or_reference,operation,notes
CUT-BAR-CHROM-LOW,Chromatic bars C5-G5,8,6061-T6 Aluminum 0.25 x 1.00,Cut 0.25 in oversize from family-spec.csv lengths,See GLK-C5 through GLK-G5 in family-spec.csv,Mark/cut/drill/deburr/trim,Longest bars are the stock-yield driver; cut long and trim to pitch.
CUT-BAR-CHROM-MID,Chromatic bars Gsharp5-G6,12,6061-T6 Aluminum 0.25 x 1.00,Cut 0.25 in oversize from family-spec.csv lengths,See GLK-Gsharp5 through GLK-G6 in family-spec.csv,Mark/cut/drill/deburr/trim,Mid-range bars; standard trim discipline.
CUT-BAR-CHROM-HIGH,Chromatic bars Gsharp6-C7,5,6061-T6 Aluminum 0.25 x 1.00,Cut 0.25 in oversize from family-spec.csv lengths,See GLK-Gsharp6 through GLK-C7 in family-spec.csv,Mark/cut/drill/deburr/trim,Short bars are pitch-sensitive; trim in 0.05 in increments.
CUT-BAR-PENT,Pentatonic art-fair bars (10),10,6061-T6 Aluminum 0.25 x 1.00,Cut 0.25 in oversize from family-spec.csv lengths,See GLK-PENT-* in family-spec.csv,Mark/cut/drill/deburr/trim,Optional second instrument; same stock as chromatic.
CUT-FRAME-FRONT,Walnut front rail (naturals row),1,Black Walnut 3/4 in thick,~34 in x ~3 in x 3/4 in rough blank,33.25 in finished length per design.md,CNC profile/pocket/drill,Holds 15 natural bars (chromatic) or 7 naturals (pentatonic).
CUT-FRAME-BACK,Walnut back rail (sharps/flats row),1,Black Walnut 3/4 in thick,~34 in x ~3 in x 3/4 in rough blank,33.25 in finished length per design.md (raised 0.5 in),CNC profile/pocket/drill,Holds 10 sharps/flats (chromatic) or 3 (pentatonic).
CUT-FRAME-ENDS,Walnut end caps,2,Black Walnut 3/4 in thick,~5 in x ~3 in x 3/4 in rough blank,Width set by frame depth (~4 in) plus 1 in margin,Cut/drill/joint,End caps tie front and back rails; carry stainless rod holes.
CUT-FRAME-CROSS,Walnut cross members (optional),2,Black Walnut 3/4 in thick or hardwood plywood,~14 in x ~2 in x 3/4 in rough blank,Width set by frame ergonomics,Cut/drill,Optional cross members for stiffness; not required for first build.
CUT-JIG-MARK,Marking sled (jig),1,MDF or scrap hardwood,Sized to longest bar plus 6 in,Per JD-020 in jig-decision.md,Cut/clamp/scribe,Stop-block sled for length and node marking.
CUT-JIG-DRILL,Node-hole V-block jig (jig),1,MDF or hardwood,~12 in x 4 in x 1.5 in,Per JD-040 in jig-decision.md,Cut/route/V-groove/drill,V-block fence with hardwood backer for drill press.
CUT-JIG-MOUNT,Mounting prototype rig (jig),1,Walnut offcut or scrap hardwood,Three short blocks ~3 in x 1 in x 0.75 in,Per JD-060 in jig-decision.md,Cut/drill/grommet test,Three-block rig for grommet durometer pilot.
CUT-JIG-FRAME,Full-size paper or MDF frame template,1,Paper or thin MDF,Sized to chromatic frame footprint (~34 in x ~12 in),Per JD-070 in jig-decision.md,Print or scribe,Validate ergonomics before cutting walnut.
