item,stable_spec,supplier_candidates,current_price_status,lead_time_status,verification_needed,notes
6061-T6 Aluminum flat bar,0.25 x 1.00 in flat bar; T6 temper preferred for consistent K; minimum 18 ft per build with pilot scrap,Online Metals; McMaster-Carr; Metal Supermarkets; local metal supplier,not verified,not verified,Verify temper and mill lot; request mill cert for K-calibration record,Buy enough for 25 chromatic + 10 pentatonic + at least 3 pilot/scrap bars from one mill lot.
Brass C260 flat bar (alt),0.25 x 1.00 in C260 yellow brass flat bar,Online Metals; McMaster-Carr; Metal Supermarkets,not verified,not verified,Verify alloy and temper,Premium tone alt; regenerate family-spec.csv with K=145325 before cutting.
Steel 1018 flat bar (alt),0.25 x 1.00 in 1018 cold-rolled steel flat bar,Online Metals; McMaster-Carr; local metal supplier,not verified,not verified,Verify cold-rolled vs hot-rolled,Loud and bright; same family-spec lengths as aluminum (K nearly identical).
304 Stainless flat bar (alt),0.25 x 1.00 in 304 SS flat bar,Online Metals; McMaster-Carr,not verified,not verified,Verify finish (#4 vs polished),Outdoor variant; regenerate family-spec.csv with K=198770.
Phosphor Bronze flat bar (alt),0.25 x 1.00 in phosphor bronze flat bar,Online Metals; specialty metal supplier,not verified,not verified,Verify alloy (510 vs 544),Premium tone; highest cost; regenerate family-spec.csv with K=142593.
Walnut frame lumber,Clear straight-grain Black Walnut 4/4 dressed to 3/4 in thick; sufficient for two rails (~36 in long) plus end caps and accidental row,Local hardwood dealer; Woodcraft; Rockler,not verified,not verified,Verify board flatness and absence of checks,Hard maple or cherry acceptable substitutes; frame wood does not affect bar tuning.
Paracord (mounting),550 paracord or low-stretch braided nylon cord; 4 mm diameter to fit through 3/16 in node holes,Outdoor / climbing supplier; Amazon; local hardware,not verified,not verified,Verify diameter and stretch under tension,Must not buzz against bar holes.
Rubber grommets,3/16 in ID rubber grommets in Shore 30A / 50A / 70A durometers,McMaster-Carr; marimba parts supplier; Amazon,not verified,not verified,Verify durometer accuracy and sample three options,Two grommets per bar minimum; durometer is the dominant sustain control.
Stainless steel support rod,1/8 in 304 stainless steel rod in 36 in lengths,McMaster-Carr; OnlineMetals; local hardware,not verified,not verified,Verify diameter +/- 0.005 in,Two rods per instrument (front + back row).
Self-adhesive rubber feet,1/2 in rubber feet with 3M adhesive backing,McMaster-Carr; hardware store,not verified,not verified,Verify adhesion strength,Four per frame.
Hard rubber mallets,Pair of hard-rubber-headed mallets with 8-10 in wood handles,Music supplier; Amazon; Steve Weiss Music,not verified,not verified,Verify head durometer,Default striker for the assembled instrument.
Brass mallets,Pair of brass-headed mallets with 8-10 in wood handles,Music supplier; Steve Weiss Music,not verified,not verified,Verify head finish (polished vs natural),Optional bright-attack upgrade.
Lexan / Delrin mallets,Pair of synthetic-headed mallets,Music supplier; specialty supplier,not verified,not verified,Verify head material,Optional alternative striker; less metallic than brass.
CNC router bits,1/4 in downcut + 1/8 in upcut + 1/8 in V-bit (carbide),Amana; Whiteside; Onsrud; local CNC supplier,not verified,not verified,Verify shank diameter for collet,Walnut frame profile and inlay.
Aluminum drill bit,3/16 in HSS or carbide bit; brad-point or jobber-length,McMaster-Carr; local hardware,not verified,not verified,Verify bit type,Node-hole drilling.
Non-ferrous saw blade,80T or 100T carbide blade for aluminum chop saw,Local tooling supplier; Amazon,not verified,not verified,Verify arbor size,Avoid burr-up on bar ends.
Frame finish,Tung oil or shellac for walnut frame,Wood finishing supplier; hardware store,not verified,not verified,Verify finish compatibility with walnut,Avoid heavy lacquer on the playing surface.
Chromatic tuner,Strobe or chromatic tuner with 2 kHz+ range; Peterson StroboClip HD recommended,Music store; Sweetwater; Amazon,not verified,not verified,Verify upper frequency range,Must read C7 = 2093 Hz reliably.
