member_id,target_note,midi,target_hz,predicted_length_in,predicted_width_in,predicted_thick_in,node_1_in,node_2_in,material,k_constant,scale_label,notes
GLK-C5,C5,72,523.251,9.883,1.000,0.250,2.216,7.667,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Csharp5,C#5,73,554.365,9.602,1.000,0.250,2.153,7.449,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-D5,D5,74,587.330,9.328,1.000,0.250,2.091,7.237,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Dsharp5,D#5,75,622.254,9.063,1.000,0.250,2.032,7.031,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-E5,E5,76,659.255,8.805,1.000,0.250,1.974,6.831,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-F5,F5,77,698.456,8.554,1.000,0.250,1.918,6.636,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Fsharp5,F#5,78,739.989,8.311,1.000,0.250,1.863,6.447,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-G5,G5,79,783.991,8.074,1.000,0.250,1.810,6.264,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Gsharp5,G#5,80,830.609,7.844,1.000,0.250,1.759,6.085,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-A5,A5,81,880.000,7.621,1.000,0.250,1.709,5.912,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-Asharp5,A#5,82,932.328,7.404,1.000,0.250,1.660,5.744,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-B5,B5,83,987.767,7.193,1.000,0.250,1.613,5.580,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
GLK-C6,C6,84,1046.502,6.988,1.000,0.250,1.567,5.422,6061-T6 Aluminum,204431,C5-C7 chromatic,"Workbook-derived from Glockenspiel sheet (rows 25-49); free-free metal beam, 6061-T6 K=204431; nodes at 0.224·L and 0.776·L; metal bars carry NO arch undercut and NO resonator (workbook §3 row 140)."
