op_id,name,machine,tool,workholding,datum,primary_inputs,primary_outputs,release_check
OP-010,Review design package and pilot gate,Bench,"design.md, family-spec.csv, jig-decision.md",Flat bench,A/B/C from design.md,design.md;family-spec.csv;validation.csv,pilot-build checklist,Pilot bars identified and stock verified
OP-100,Receive and verify aluminum stock,Bench,"Calipers, scratch awl, scale",Flat bench,Stock edge,bom.csv;sourcing.csv,Verified aluminum bar stock,"Thickness 0.250 +/- 0.005 in, width 1.000 +/- 0.010 in, mill lot recorded"
OP-110,Mark bar length and node positions,Bench,"Stop-block sled, square, fine marker, centerline gauge",Sled per JD-020,Left end B / centerline C,family-spec.csv;drawings/GLK-*-body.svg,Marked blanks ready for cutting,Length and node positions within +/- 0.020 in
OP-120,Cut bars to length,Chop saw or band saw,80T or 100T non-ferrous carbide blade,"Stop block, hold-down clamp",Left end B against fence,family-spec.csv;cut-list.csv,Cut-long bar blanks,Cut squareness <= 0.5 deg; both ends deburred
OP-130,Drill node holes,Drill press,"3/16 in HSS or carbide bit, hardwood backer, depth stop",V-block jig (JD-040),Left end B / centerline C,family-spec.csv;drawings/GLK-*-body.svg,Bars with two clean node holes,Hole dia 0.1875 +/- 0.005 in; perpendicular within 1 deg
OP-140,Strike-test on foam supports,Bench,"Foam blocks, chromatic tuner, microphone",Foam node-support cradle (JD-050),Acoustic node datum,validation.csv;family-spec.csv,Measured Hz / sustain / timbre per pilot,K_eff = f * L^2 / t computed for each pilot
OP-150,Trim to pitch,Bench,"Belt sander or bench file, calipers, tuner",Hand-held,Acoustic-tuning datum,validation.csv,Bars within tuning tolerance,"Pilots within +/- 10 cents; production within +/- 5 cents"
OP-200,Walnut frame: receive and inspect,Bench,"Calipers, square, moisture meter (optional)",Flat bench,Board edge,bom.csv;sourcing.csv,Verified walnut stock,Straight grain in finished area; thickness 0.75 in
OP-210,Walnut frame: CNC fixture and datum verification,CNC router,"Spoilboard surfacing bit, edge finder/probe, clamps/tape",Replaceable spoilboard,Machine X0/Y0/Z0,cnc/setup-sheet.md;drawings/frame-layout.svg,Verified fixture / air-cut report,Air-cut passes; clamps clear toolpath
OP-220,Walnut frame: rough rail profile and grommet pockets,CNC router,"1/4 in downcut spiral; 1/8 in upcut",Spoilboard tape/clamps,Top face / left end / centerline,family-spec.csv;cad/design-table-inputs.csv;drawings/frame-layout.svg,Profiled walnut rails with grommet pockets,Pocket dia/depth correct; bar-to-bar spacing 1.25 in
OP-230,Walnut frame: optional inlay engraving,CNC router or laser,"1/8 in V-bit (60 deg) or diode laser",Same fixture as OP-220,Same as OP-220,drawing-brief.md,Decorated rails (optional),Engraving consistent; skippable for pilot
OP-240,Walnut frame: drill stainless rod and fastener holes,CNC router or drill press,"1/8 in bit + fastener pilot bits","End-cap or rail-end fixture",Rail end face / centerline,drawings/mounting-detail.svg;cad/sw-global-variables.csv,Through-drilled rails and end caps,Slip-fit verified with actual rod
OP-300,Mounting prototype rig (durometer pilot),Bench,"Three walnut blocks, three durometer grommets, paracord, rod",Bench-top assembly,Block centerline,bom.csv;drawings/mounting-detail.svg,Sustain and pitch-shift data per durometer,Sustain >= 75% of flat-bar; pitch shift <= 5 cents; no buzz
OP-400,Frame assembly and bar mounting,Bench,"Drivers, awl, scissors, tuner",Frame on workbench,Frame centerline / end-cap reference,assembly-manual.md;drawings/mounting-detail.svg,Assembled glockenspiel,All bars seated; no metal-on-metal contact
OP-500,Final validation and release,Bench,"Chromatic tuner, microphone, mallets, camera",Assembled instrument on stable stand,Same strike datum every note,validation.csv;photo-shotlist.md,Updated validation.csv / process photos,Within +/- 5 cents at soft dynamic; no buzz at any dynamic
